Sport,Event,Gender,Athlete,Medal,Year
Archery,Individual,Men,Jacob Wukie,None,2012
Archery,Individual,Men,Brady Ellison,None,2012
Archery,Individual,Men,Jake Kaminski,None,2012
Archery,Team,Men,Jacob Wukie•Brady Ellison•Jake Kaminski,None,2012
Archery,Individual,Women,Khatuna Lorig,None,2012
Archery,Individual,Women,Miranda Leek,None,2012
Archery,Individual,Women,Jennifer Nichols,None,2012
Archery,Team,Women,Khatuna Lorig•Jennifer Nichols•Miranda Leek,None,2012
Artistic Gymnastics,Individual All-Around,Men,Danell Leyva,Bronze,2012
Artistic Gymnastics,Individual All-Around,Men,John Orozco,None,2012
Artistic Gymnastics,Team All-Around,Men,Jake Dalton•Jonathan Horton•Danell Leyva•Sam Mikulak•John Orozco,None,2012
Artistic Gymnastics,Floor Exercise,Men,Jake Dalton,None,2012
Artistic Gymnastics,Floor Exercise,Men,Sam Mikulak,None,2012
Artistic Gymnastics,Floor Exercise,Men,John Orozco,None,2012
Artistic Gymnastics,Floor Exercise,Men,Danell Leyva,None,2012
Artistic Gymnastics,Horse Vault,Men,Sam Mikulak,None,2012
Artistic Gymnastics,Horse Vault,Men,Jake Dalton,None,2012
Artistic Gymnastics,Parallel Bars,Men,Danell Leyva,None,2012
Artistic Gymnastics,Parallel Bars,Men,Sam Mikulak,None,2012
Artistic Gymnastics,Parallel Bars,Men,John Orozco,None,2012
Artistic Gymnastics,Parallel Bars,Men,Jonathan Horton,None,2012
Artistic Gymnastics,Horizontal Bar,Men,Danell Leyva,None,2012
Artistic Gymnastics,Horizontal Bar,Men,Jonathan Horton,None,2012
Artistic Gymnastics,Horizontal Bar,Men,John Orozco,None,2012
Artistic Gymnastics,Horizontal Bar,Men,Sam Mikulak,None,2012
Artistic Gymnastics,Rings,Men,Jonathan Horton,None,2012
Artistic Gymnastics,Rings,Men,Jake Dalton,None,2012
Artistic Gymnastics,Rings,Men,John Orozco,None,2012
Artistic Gymnastics,Rings,Men,Danell Leyva,None,2012
Artistic Gymnastics,Pommelled Horse,Men,Danell Leyva,None,2012
Artistic Gymnastics,Pommelled Horse,Men,John Orozco,None,2012
Artistic Gymnastics,Pommelled Horse,Men,Sam Mikulak,None,2012
Artistic Gymnastics,Pommelled Horse,Men,Jonathan Horton,None,2012
Artistic Gymnastics,Individual All-Around,Women,Gabby Douglas,Gold,2012
Artistic Gymnastics,Individual All-Around,Women,Aly Raisman,None,2012
Artistic Gymnastics,Individual All-Around,Women,Jordyn Wieber,None,2012
Artistic Gymnastics,Team All-Around,Women,Gabby Douglas•McKayla Maroney•Aly Raisman•Kyla Ross•Jordyn Wieber,None,2012
Artistic Gymnastics,Floor Exercise,Women,Aly Raisman,Gold,2012
Artistic Gymnastics,Floor Exercise,Women,Jordyn Wieber,None,2012
