Sport,"1st place, gold medalist(s)","2nd place, silver medalist(s)","3rd place, bronze medalist(s)",Total
Swimming,16,8,9,33
Athletics,13,10,9,32
Gymnastics,4,6,2,12
Cycling,2,3,0,5
Wrestling,2,0,1,3
Basketball,2,0,0,2
Boxing,1,1,1,3
Tennis,1,1,1,3
Judo,1,1,0,2
Rowing,1,1,0,2
Shooting,1,0,2,3
Triathlon,1,0,0,1
Water polo,1,0,0,1
Fencing,0,2,2,4
Diving,0,2,1,3
Equestrian,0,1,2,3
Archery,0,1,1,2
Volleyball,0,0,3,3
Golf,0,0,1,1
Sailing,0,0,1,1
Taekwondo,0,0,1,1
Weightlifting,0,0,1,1
Total,46,37,38,121
