Sport,male_owned,female_owned,male_pct,female_pct,male_pop,female_pop,male_average,female_average
Archery,1,,50.00%,0.00%,1,3,1.00,0.00
Artistic swimming,,1,0.00%,100.00%,,8,0.00,0.13
Athletics,18,15,52.94%,44.12%,59,61,0.31,0.25
Basketball,1,2,33.33%,66.67%,16,16,0.06,0.13
Boxing,1,,100.00%,0.00%,4,4,0.25,0.00
Breaking,1,,100.00%,0.00%,2,2,0.50,0.00
Canoeing,,2,0.00%,100.00%,3,2,0.00,1.00
Cycling,,6,0.00%,100.00%,10,13,0.00,0.46
Diving,,1,0.00%,100.00%,5,6,0.00,0.17
Equestrian,,,0.00%,0.00%,6,3,0.00,0.00
Fencing,1,3,25.00%,75.00%,6,9,0.17,0.33
Football,,1,0.00%,100.00%,18,18,0.00,0.06
Golf,1,,100.00%,0.00%,4,3,0.25,0.00
Gymnastics,2,8,20%,80%,6,7,0.33,1.00
Rowing,2,,100.00%,0.00%,18,24,0.11,0.00
Rugby sevens,,1,0.00%,100%,12,12,0.00,0.17
Sailing,1,,100.00%,0.00%,6,7,0.17,0.00
Shooting,2,2,40.00%,40.00%,7,9,0.29,0.22
Skateboarding,3,,100.00%,0.00%,6,6,0.50,0.00
Sport climbing,1,1,50.00%,50.00%,4,4,0.25,0.25
Surfing,,1,0.00%,100.00%,2,3,0.00,0.33
Swimming,9,18,32.14%,64.29%,27,21,0.33,0.86
Taekwondo,,1,0.00%,100.00%,2,2,0.00,0.50
Tennis,2,,100.00%,0.00%,6,5,0.33,0.00
Triathlon,,,0.00%,0.00%,2,3,0.00,0.00
Volleyball,1,1,50.00%,50.00%,16,16,0.06,0.06
Water polo,1,,100.00%,0.00%,12,12,0.08,0.00
Weightlifting,1,1,50.00%,50.00%,2,3,0.50,0.33
Wrestling,3,4,42.86%,57.14%,10,6,0.30,0.67
