year,sum,Archery,Artistic Swimming,Athletics,Baseball,Basketball,Basketball 3x3,BMX Freestyle,Boxing,Breaking,Canoe Slalom,Canoe Sprint,Canoeing,Cycling,Diving,Equestrian,Equestrian - Jumping,Fencing,Field hockey,Football,Golf,Gymnastics,Judo,Karate,Modern pentathlon,Mountain Bike,Rowing,Rugby,Sailing,Shooting,Skateboarding,Soccer,Softball,Sport Climbing,Surfing,Swimming,Synchronized swimming,Taekwondo,Tennis,Track and Field,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
1984,174,2,,40,,2,,,11,,,,1,9,8,5,,1,1,,,16,2,,1,,8,,7,6,,,,,,34,2,,,,,2,1,2,13
1988,94,3,,26,,2,,,8,,,,2,1,5,2,,,,,,1,2,,,,3,,5,1,,,,,,18,2,,5,,,1,1,,6
1992,108,,,30,,2,,,3,,,,3,2,3,2,,,,,,6,1,,,,3,,9,2,,,,,,27,2,,3,,,2,,,8
1996,101,2,,23,1,2,,,6,,,,1,3,2,4,,,,,,5,1,,,,4,,2,3,,1,1,,,26,1,,3,,,2,,,8
2000,93,2,,16,1,2,,,4,,,,,2,1,3,,,,,,1,,,1,,3,,4,3,,1,1,,,33,,1,3,,,1,1,2,7
2004,101,,,25,,2,,,2,,,,1,2,,5,,2,,,,9,1,,,,2,,2,3,,1,1,,,28,2,2,1,,1,2,1,,6
2008,112,,,25,1,2,,,1,,,,,5,,3,,6,,,,10,1,,,,3,,2,6,,1,1,,,31,,3,2,,,4,2,,3
2012,105,1,,29,,2,,,2,,,,,4,4,,,1,,1,,6,2,,,,3,,,4,,,,,,31,,2,4,,,3,1,,5
2016,121,2,,32,,2,,,3,,,,,5,3,3,,4,,,1,12,2,,,,2,,1,3,,,,,,33,,1,3,,1,3,1,1,3
2021,113,,,26,1,3,,,4,,,,1,3,3,2,,2,,1,2,6,,1,,,,,,6,2,,1,1,1,30,,1,,,2,2,1,2,9
2024,126,2,1,,,2,1,1,1,1,1,1,,4,1,,1,4,,,1,9,,,,1,2,1,1,5,3,1,,2,1,28,,1,2,34,1,2,1,2,7
